idAn,url,idUser,city,prenom
1332314,https://www.voscours.fr/prof-particulier-rennes/cours-mathematiques-par-etudiante-statistiques-1332314,1405397,Rennes,Enora
1334712,https://www.voscours.fr/prof-particulier-le-bugue/professeure-anglais-formatrice-anglais-tout-age-tout-niveaux-1334712,1408628,Campagne (Dordogne),Pauline
1206905,https://www.voscours.fr/cours-de-allemand-a-vaucluse/cours-allemand-tout-niveau-avignon-1206905,1197208,Avignon,Vanessa
1220512,https://www.voscours.fr/prof-particulier-dijon/cours-martogulier-maths-college-lycee-1220512,1220624,Saint-Apollinaire (Côte-d'Or),Marie
1884332,https://www.voscours.fr/prof-particulier-allonnes-sarthe/2eme-annee-licence-anglais-a-universite-souhaite-aider-eleves-leur-apprentissage-anglais-qui-peut-parfois-etre-difficile-1884332,2121258,Allonnes (Sarthe),Alizee
1723720,https://www.voscours.fr/prof-particulier-labenne/cours-particuliers-mathematiques-tout-niveau-1723720,1921656,Labenne,Ambre
1762501,https://www.voscours.fr/prof-particulier-la-garde-var/cours-a-domicile-remise-a-niveau-var-garde-1762501,1971307,La Garde (Var),Alexia
1834417,https://www.voscours.fr/prof-particulier-chatenay-malabry/cours-pianocomposition-adapte-a-vos-envies-1834417,2061585,Clichy,Thomas
3244233,https://www.voscours.fr/online/photographie/journaliste-reporter-photo-auteur-photographe-nombreuses-expositions-conference-universite-3244233,2190510,Évian-les-Bains,Jean Louis
3241196,https://www.voscours.fr/prof-particulier-amiens/anglais-maths-niveau-primaire-amiens-3241196,3804587,Amiens,Ambre
3209011,https://www.voscours.fr/prof-particulier-sanvignes-les-mines/anglais-jusqu-terminale-espagnol-jusqu-terminale-francais-jusqu-terminale-math-jusqu-3ieme-3209011,3771942,,Sylvie
3244308,https://www.voscours.fr/online/cycles-de-formation/dessin-ordinateur-en-ligne-3244308,3803730,,Pierre
3244344,https://www.voscours.fr/prof-particulier-bruz/cours-mathematiques-niveau-college-lycee-3244344,3807752,Bruz,Pascale
3244337,https://www.voscours.fr/prof-particulier-boulogne-sur-mer/etudiante-1er-annee-donne-cours-mathematique-3244337,3807741,Boulogne-sur-Mer,Twinity
3244374,https://www.voscours.fr/prof-particulier-colmar/professeur-peinture-dessin-colmar-colmar-3244374,3807785,,Badet
3244369,https://www.voscours.fr/prof-particulier-bruz/cours-francais-litterature-francaise-tous-niveaux-3244369,3807752,Bruz,Pascale
3244383,https://www.voscours.fr/prof-particulier-orsay/cours-chimie-biologie-college-orsay-3244383,3807793,Bures-sur-Yvette,Julien Poumarède
3244410,https://www.voscours.fr/prof-particulier-biarritz/cours-stage-photo-tous-niveaux-couleur-noir-blanc-paysage-street-photo-reportage-3244410,3303210,Bayonne,Serge
3244482,https://www.voscours.fr/prof-particulier-gauchy/etudiant-licence-langues-etrangeres-3244482,3807889,Gauchy,Charly
3244490,https://www.voscours.fr/prof-particulier-montreuil-seine-saint-denis/cours-anglais-tous-niveaux-amelioration-orale-ecrite-accent-americain-3244490,3807891,Bagnolet,Sylvie
3244535,https://www.voscours.fr/prof-particulier-dijon/etudiant-licence-espagnol-cours-espagnol-3244535,3194773,,Bouring
1944418,https://www.voscours.fr/prof-particulier-villeneuve-saint-georges/professeur-mathematiques-college-lycee-1944418,2200570,Ablon-sur-Seine,Francelot
1956465,https://www.voscours.fr/prof-particulier-le-mans/professeur-anglais-niveau-primaire-bac-1956465,2121258,Allonnes (Sarthe),Alizee
1961798,https://www.voscours.fr/prof-particulier-saint-avold/cours-espagnol-soutien-scolaire-methodologie-approche-individualisee-avold-environs-1961798,2227068,Macheren,Mélissa
2016805,https://www.voscours.fr/prof-particulier-vendome/etudiante-comptabilite-gestion-vendome-2016805,2308892,Gouzon,Mailys
2055628,https://www.voscours.fr/prof-particulier-noisy-le-grand/cours-particuliers-maths-collegiens-2055628,2366655,Bry-sur-Marne,Marie
2065991,https://www.voscours.fr/online/mathematiques/cours-particuliers-math-physique-chimie-anglais-eleve-ingenieure-centralienne-2065991,1260227,Nantes,Manon
2217957,https://www.voscours.fr/online/mathematiques/cours-mathematiques-francais-en-ligne-2217957,2547602,,Clara
2221849,https://www.voscours.fr/online/francais/cours-particuliers-francais-professeur-certifie-2221849,2552950,La Rochelle,Guillaume
2437183,https://www.voscours.fr/prof-particulier-rennes/etudiante-ingenieure-propose-cours-maths-physique-chimie-biologie-niveau-primaire-a-terminale-2437183,1979179,Rennes,Julie
2545106,https://www.voscours.fr/online/physique/professeure-mathematiques-physique-chimie-tous-niveaux-primaire-secondaire-superieur-2545106,2985554,,Clara
2558567,https://www.voscours.fr/online/francais/professeur-francais-en-ligne-2558567,2962680,Bizanos,Marie Noelle
2620042,https://www.voscours.fr/prof-particulier-pau/suis-actuellement-deuxieme-annee-licence-economie-gestion-a-universite-toulouse-quelques-facilites-economie-mathematiques-habitude-donner-co-2620042,3077674,,Nicolas
3244191,https://www.voscours.fr/prof-particulier-cayenne/cours-collegiens-cayenne-3244191,3807597,,Sarah
2839816,https://www.voscours.fr/online/theatre/cours-theatre-niveau-cycle-en-ligne-2839816,3359081,,Hermanis
2862790,https://www.voscours.fr/prof-particulier-les-sables-dolonne/educateur-sportif-diplome-sables-olonne-2862790,3386038,Château-d'Olonne,Christophe
2871794,https://www.voscours.fr/prof-particulier-tours/professeur-arabe-tous-niveaux-tours-2871794,3391781,Joué-lès-Tours,Zina
2874420,https://www.voscours.fr/prof-particulier-nantes/coach-sportif-diplome-etat-nantes-ses-alentours-2874420,2971293,Nantes,Sébastien
2927758,https://www.voscours.fr/prof-particulier-nimes/cours-maths-niveau-college-nimes-2927758,3459330,Caissargues,Lila
2928904,https://www.voscours.fr/prof-particulier-saint-genis-pouilly/french-teacher-english-saint-genis-pouilly-2928904,3460664,,Nesa
2935802,https://www.voscours.fr/prof-particulier-saint-nazaire-loire-atlantique/etudiant-domaine-industriel-saint-nazaire-2935802,3469271,Saint-Brevin-les-Pins,Daryl
2936043,https://www.voscours.fr/prof-particulier-nimes/cours-physique-chimie-svt-niveau-college-lycee-2936043,3469595,Caissargues,Axel
2939324,https://www.voscours.fr/prof-particulier-chalmaison/professeur-canadien-anglais-tous-niveaux-2939324,3473537,Chalmaison,Claudette Suzanne
2939566,https://www.voscours.fr/prof-particulier-troyes/professeur-math-6e-a-terminale-troyes-2939566,3473815,Saint-André-les-Vergers,Bakary
2939579,https://www.voscours.fr/prof-particulier-nimes/professeur-trilingue-experience-ans-2939579,3473831,Nîmes,Stephanie
2939626,https://www.voscours.fr/prof-particulier-nancy/etudiant-etre-ingenieur-suis-assez-a-aise-maths-tres-pedagogue-vous-expliquer-2939626,3473895,Malzéville,Léo
2939637,https://www.voscours.fr/prof-particulier-dijon/professeur-sivananda-ashtanga-yin-yoga-2939637,3473911,Dijon,Gemelli
2939672,https://www.voscours.fr/prof-particulier-fontainebleau/professeur-bilingue-anglais-tous-niveaux-2939672,3473956,,Stephanie
2939694,https://www.voscours.fr/prof-particulier-nanterre/professeur-donne-cours-histoire-niveau-college-visio-2939694,3473993,,Thomas
2939723,https://www.voscours.fr/prof-particulier-vanduvre-les-nancy/enseignante-chercheuse-mathematiques-appliquees-statistique-2939723,3474030,Heillecourt,Marwa
2939771,https://www.voscours.fr/prof-particulier-reims/aide-aux-devoirs-niveau-primaire-solfegepiano-debutants-2939771,3474094,Reims,Emma
2939824,https://www.voscours.fr/prof-particulier-dijon/diplomee-master-espagnol-propose-aide-aux-devoirs-eleves-ecole-primaire-2939824,3474172,Dijon,Lucica
2939901,https://www.voscours.fr/prof-particulier-le-boulou/cours-francais-bureautique-boulou-2939901,3474266,,Eva
2939925,https://www.voscours.fr/prof-particulier-laigle/jeune-professeure-qui-connait-pas-mal-langues-2939925,3474310,,Büsra
2940047,https://www.voscours.fr/prof-particulier-chartres/enseignante-experimentee-svt-biologie-ecologie-2940047,3253508,Lucé,Nathalie.
2940051,https://www.voscours.fr/prof-particulier-chartres/professeur-svt-biologie-svt-experimentee-poste-lycee-chartres-2940051,3474466,,Nathalie
2940054,https://www.voscours.fr/online/biologie/cours-biolologie-soutien-scolaire-ligne-2940054,3474471,,Can Ahmet
2940069,https://www.voscours.fr/prof-particulier-marseilles-les-aubigny/etudiante-donne-cours-maths-marseille-13005-2940069,2678104,,Vanessa
2940086,https://www.voscours.fr/online/mathematiques/eleve-ecole-ingenieur-propose-cours-mathematiques-eleves-secondaire-2940086,3474510,,Thom
2940095,https://www.voscours.fr/online/anglais/eleve-ecole-ingenieur-propose-cours-anglais-jusqu-niveau-2940095,3474510,,Thom
2940183,https://www.voscours.fr/prof-particulier-chateau-arnoux-saint-auban/professeur-bilingue-experience-ans-tous-public-2940183,3474635,Château-Arnoux-Saint-Auban,Rajkoumar
2940229,https://www.voscours.fr/prof-particulier-limoges/enseignante-anglais-ingenieure-electromecanique-2940229,3474672,,Soumia
2940277,https://www.voscours.fr/prof-particulier-le-blanc-mesnil/professeur-mathematiques-sciences-physiques-sciences-ingenieur-2940277,3474728,Aulnay-sous-Bois,Idrys
2940374,https://www.voscours.fr/prof-particulier-casabianca/suis-professeur-retraite-anticipe-prete-donner-cours-arabe-petit-pris-merci-2940374,3092950,,Khadija
2940464,https://www.voscours.fr/prof-particulier-limay/professeur-musique-a-domicile-limay-2940464,3212709,Limay,Patrick
2940488,https://www.voscours.fr/prof-particulier-vanves/jeune-diplomee-ingenierie-energie-souhaitant-apporter-contribution-enseignement-2940488,3474966,,Vedika
2940493,https://www.voscours.fr/online/mathematiques/jeune-diplomee-ingenierie-experience-solide-mathematiques-sciences-appliquees-apprentissage-langues-2940493,3474966,,Vedika
2940494,https://www.voscours.fr/prof-particulier-bidache/aide-aux-devoirs-renfort-apprentissage-primaire-2940494,3474980,,Duilhé Lafourcade
2940497,https://www.voscours.fr/online/espagnol/professeur-espagnol-native-madrid-ligne-debutants-2940497,3474987,,Elena
2940508,https://www.voscours.fr/prof-particulier-evry-essonne/etudiant-genie-electrique-essonne-evry-2940508,3475007,Mennecy,Ahmadou Bamba
2940521,https://www.voscours.fr/prof-particulier-surjoux/professeur-francais-histoire-geographie-2940521,3475034,Anthy-sur-Léman,Véronique
2940562,https://www.voscours.fr/online/mathematiques/etudiant-ingenieur-propose-aide-mathematiques-2940562,3475091,Nantes,Ulysse
2940682,https://www.voscours.fr/prof-particulier-gilly-sur-isere/dame-prof-dessin-peinture-donne-cours-sujets-niveaux-savoie-2940682,3475247,Albertville,Marleen
2940709,https://www.voscours.fr/prof-particulier-belfort-ville/professeure-espagnol-belfort-ville-2940709,3475286,Belfort ville,Sabine
2940754,https://www.voscours.fr/prof-particulier-compiegne/cours-maths-primaire-tous-niveaux-compiegne-2940754,3475350,Compiègne,Meryame
2940757,https://www.voscours.fr/online/espagnol/cour-espagnol-niveau-lycee-en-ligne-2940757,3468390,Dijon,Benoit
2940769,https://www.voscours.fr/prof-particulier-saint-germain-en-laye/cours-piano-a-domicile-tout-age-saint-germain-laye-2940769,3328932,Chatou,Raphael
2940772,https://www.voscours.fr/online/ofimatique/cours-introduction-perfectionnement-a-programmation-vba-2940772,3475378,,Pascal
2940808,https://www.voscours.fr/prof-particulier-amiens/cours-arabe-tous-niveaux-amiens-2940808,3475434,,Douha
2940878,https://www.voscours.fr/prof-particulier-narbonne/professeur-anglais-tout-niveau-nationalite-australienne-2940878,3475531,Bages (Aude),Marine
2940911,https://www.voscours.fr/prof-particulier-niort/bilingue-experience-expatriee-ans-donne-cours-anglais-tous-niveaux-2940911,3475558,,Céline Chicote
2940913,https://www.voscours.fr/prof-particulier-poitiers/apprentissage-anglais-maniere-ludique-2940913,3475559,Biard,Théa
2940917,https://www.voscours.fr/prof-particulier-saint-etienne/professeur-particulier-toutes-matieres-niveau-primaire-college-lycee-titulaire-licence-anglais-bac-scientifique-2940917,2866246,,Meryem
2940928,https://www.voscours.fr/prof-particulier-poitiers/eleve-licence-anglais-donne-cours-apprendre-a-aimer-anglais-2940928,3475559,Biard,Théa
2940944,https://www.voscours.fr/prof-particulier-bousseviller/formatrice-langues-anglaise-allemande-ans-experience-centre-a-domicile-vision-tous-niveaux-2940944,3475585,Bousseviller,Black Sabrina
2940946,https://www.voscours.fr/prof-particulier-angers/cours-science-vie-terre-niveau-primaire-a-lycee-2940946,1893504,Angers,Céline
2941015,https://www.voscours.fr/online/francais/professeur-francais-ligne-experience-professionnelle-ans-2941015,3475663,,Elise Magloire
2941073,https://www.voscours.fr/prof-particulier-nantes/cours-particuliers-matieres-generales-2941073,3475742,,Fanny
2941226,https://www.voscours.fr/prof-particulier-berling/cours-allemand-mathematiques-berling-2941226,3475903,,Delano
2941246,https://www.voscours.fr/online/anglais/etudiante-droit-francais-anglais-en-ligne-2941246,3475915,,Yasmine
2941277,https://www.voscours.fr/prof-particulier-nimes/cours-anglais-tout-niveau-titulaire-bac-technologique-ans-classe-preparatoire-actuelement-licence-2eme-annee-maths-saurais-cous-aidez-vous-a-2941277,3475948,Caissargues,Mounir
2941301,https://www.voscours.fr/prof-particulier-rosheim/diplomee-master-staps-entrainement-optimisation-performance-sportive-2941301,3475961,Bischoffsheim,Margot
2941303,https://www.voscours.fr/prof-particulier-tours/professeur-donner-cours-particulier-2941303,3475964,La Riche,Soukaina
2941402,https://www.voscours.fr/prof-particulier-caen/professeur-langues-caen-2941402,3476076,,Illina
2941413,https://www.voscours.fr/online/espagnol/professeur-espagnol-en-ligne-2941413,3476076,,Illina
2941470,https://www.voscours.fr/prof-particulier-nimes/etudiante-ans-aux-beaux-arts-nimes-2941470,3476176,Vauvert,Ninon
2941498,https://www.voscours.fr/prof-particulier-palaiseau/maths-college-a-prepa-professeur-particulier-mathematiques-2941498,3475408,Palaiseau,Julian
2941502,https://www.voscours.fr/prof-particulier-le-blanc-mesnil/professeur-anglais-cecilia-blanc-mesnil-2941502,3476219,,Cécilia
2941559,https://www.voscours.fr/prof-particulier-palaiseau/physique-college-a-prepa-professeur-particulier-physique-2941559,3475408,Palaiseau,Julian
2941627,https://www.voscours.fr/prof-particulier-mulhouse/cours-maths-aide-aux-devoirs-preparation-brevet-2941627,3476385,Brunstatt-Didenheim,Sonia
2941665,https://www.voscours.fr/prof-particulier-clermont-ferrand/parlant-anglais-depuis-enfance-peux-donner-cours-a-tous-niveaux-2941665,2899406,,Yann
2941721,https://www.voscours.fr/prof-particulier-les-mureaux/professeur-mathematiques-mureaux-2941721,3476512,Hardricourt,Manel
2941821,https://www.voscours.fr/prof-particulier-nimes/professeur-anglais-niveau-eme-nimes-2941821,3476632,,Strens margaux
2941882,https://www.voscours.fr/online/allemand/hallo-appelle-cyrielle-ans-vis-allemagne-depuis-maintenant-quelques-annees-passionnee-langues-etrangeres-etudie-anglais-allemand-italien-ser-2941882,3476699,,Cyrielle
2941917,https://www.voscours.fr/prof-particulier-amiens/professeur-mathematiques-amiens-2941917,3476731,Amiens,Paule Aaronne
2942212,https://www.voscours.fr/prof-particulier-bayonne/auto-entrepreneuse-donne-divers-cours-langues-maths-economie-etc-niveau-master-2942212,3476970,Bayonne,Marine
2942310,https://www.voscours.fr/prof-particulier-tours/professeur-arabe-dialectal-classique-2942310,3477073,La Riche,Bernard
2942425,https://www.voscours.fr/online/chinois/professeur-chinois-experiences-en-ligne-2942425,2844585,,Chen
2942504,https://www.voscours.fr/prof-particulier-amiens/cours-psychologie-clinique-psychopathologie-2942504,3477273,,Col
2942689,https://www.voscours.fr/online/mathematiques/ingenieure-diplomee-materiaux-donne-cours-mathsphysiquefrancais-niveaux-allant-college-lycee-2942689,3477489,Chaville,Ismahane
2942744,https://www.voscours.fr/prof-particulier-cerny/professeur-mathematique-physique-electrique-experience-2942744,3477551,,Ahmadou Bamba Badiane
2942745,https://www.voscours.fr/prof-particulier-rennes/professeur-6eme-a-terminale-rennes-2942745,3477561,Rennes,Sonia
2942752,https://www.voscours.fr/online/anglais/cours-anglais-niveau-superieur-en-ligne-2942752,3477573,Courbevoie,Anthony
2942759,https://www.voscours.fr/prof-particulier-la-celle-saint-cloud/professeur-lettres-primaire-lycee-celle-saint-cloud-2942759,3477580,Bougival,Nicolas
2942782,https://www.voscours.fr/prof-particulier-nantes/cours-anglais-biologie-chimie-nantes-2942782,3477603,,Marilyne
2943000,https://www.voscours.fr/prof-particulier-asnieres-les-dijon/etudiante-classe-preparatoire-enseigne-anglais-aider-eleves-a-ameliorer-leur-accent-fluidite-leur-discours-2943000,3477880,,Anne
2943020,https://www.voscours.fr/a-domicile/yvelines/bonjour-suis-jeune-diplomee-ecole-ingenieur-suis-passee-classe-preparatoire-mathematiquesaime-beaucoup-mathematiques-suis-sure-que-tout-mond-2943020,1849119,Saint-Étienne,Lea
2943091,https://www.voscours.fr/prof-particulier-roanne/diplomee-licence-lettres-modernes-donne-cours-francais-roannais-2943091,2524276,,Pénélope Jacquet
2943137,https://www.voscours.fr/prof-particulier-choisy-le-roi/etudiante-diplomee-master-a-ens-propose-cours-philosophie-lyceens-2943137,3477651,Choisy-le-Roi,Mathilde
2943155,https://www.voscours.fr/online/arabe/licence-litterature-arabe-classique-2943155,3478140,,Amir
2943220,https://www.voscours.fr/prof-particulier-dijon/professeure-devenir-histoire-dijon-2943220,3478250,,Clémence
2943278,https://www.voscours.fr/online/guitare/cours-guitare-classique-en-ligne-2943278,3463557,Bessèges,Francis
2943285,https://www.voscours.fr/prof-particulier-mery-sur-oise/redactrice-chef-audiovisuel-tres-bonne-maitrise-francais-2943285,3478360,,Le Guen
2943347,https://www.voscours.fr/prof-particulier-le-mans/cours-philosophie-terminal-mans-2943347,1999077,Montrouge,Ben khalifa Nacer
2943476,https://www.voscours.fr/prof-particulier-longjumeau/professeure-francais-arabe-debutants-2943476,3478590,,El boukhari
2943512,https://www.voscours.fr/prof-particulier-morlaix/cours-guitare-debutant-morlaix-2943512,3478643,Morlaix,Yann
2943518,https://www.voscours.fr/prof-particulier-poissy/professeur-polyvalent-doctorant-poissy-2943518,3478650,Carrières-sous-Poissy,Feki
2943591,https://www.voscours.fr/prof-particulier-cergy/professeur-natif-francais-cergy-2943591,3478732,Cergy,DOMO DJOHOU Yvan-Joël
2943677,https://www.voscours.fr/prof-particulier-verneuil-en-halatte/professeur-bilingue-langues-russe-anglais-francais-experience-professionnelle-ans-a-ecole-enfants-ans-serai-heureuse-vous-aider-a-apprendre-2943677,2153532,,Alina
2943773,https://www.voscours.fr/prof-particulier-la-rochelle/etudiantes-science-terre-donnant-cours-mathematiques-jusqu-niveau-terminal-2943773,2989291,La Rochelle,Axelle
2943807,https://www.voscours.fr/prof-particulier-vion-ardeche/cours-chinois-jusqu-niveau-hsk-ardeche-vion-2943807,3478930,,Guillaume
2943849,https://www.voscours.fr/prof-particulier-ancenis/professeur-natif-francais-ancenis-2943849,3478978,,Gwendal
2943929,https://www.voscours.fr/online/mathematiques/aide-devoir-soutien-a-domicile-en-ligne-2943929,1329799,Nantes,Blondel
2943985,https://www.voscours.fr/online/physique/professeur-agregee-sciences-physiques-2943985,3479134,La Seyne-sur-Mer,Alice
2944032,https://www.voscours.fr/online/mathematiques/soutien-scolaire-primaire-math-anglais-histoire-geographie-2944032,3479184,,Marie
2944122,https://www.voscours.fr/prof-particulier-surgeres/professeur-espagnol-francais-surgeres-2944122,3479289,Saint-Georges-du-Bois (Charente-Maritime),Nathalie
2944133,https://www.voscours.fr/prof-particulier-montgeron/cours-mathematiques-montgeron-2944133,3479295,Crosne,Armel
2944192,https://www.voscours.fr/prof-particulier-sada-mayotte/professeure-anglais-experience-sada-15300016-2944192,3479349,,Nayda
2944215,https://www.voscours.fr/prof-particulier-mennetou-sur-cher/artiste-peintre-professionnelle-vous-partager-mes-techniques-mon-savoir-vous-faire-progresser-domaine-quelque-2944215,3479381,Mennetou-sur-Cher,Justine
2944305,https://www.voscours.fr/prof-particulier-clichy/professeur-arabe-litteraire-clichy-2944305,3479477,Asnières-sur-Seine,Simon
2944474,https://www.voscours.fr/prof-particulier-savigny-le-temple/cours-animation-danse-salon-savigny-temple-2944474,3479689,Nandy,Laure
